the,1
a,2
of,3
.,4
",",5
and,6
to,7
network,8
neural,9
is,10
for,11
in,12
The,13
an,14
data,15
are,16
by,17
A,18
input,19
system,20
with,21
output,22
or,23
from,24
which,25
be,26
as,27
that,28
on,29
signal,30
method,31
each,32
one,33
image,34
at,35
using,36
plurality,37
first,38
layer,39
can,40
includes,41
set,42
training,43
control,44
may,45
processing,46
based,47
values,48
second,49
information,50
signals,51
model,52
value,53
used,54
process,55
learning,56
neuron,57
least,58
pattern,59
such,60
device,61
between,62
time,63
In,64
circuit,65
vector,66
unit,67
having,68
into,69
neurons,70
apparatus,71
function,72
trained,73
more,74
invention,75
An,76
parameters,77
provided,78
corresponding,79
feature,80
recognition,81
artificial,82
networks,83
has,84
also,85
weight,86
number,87
then,88
state,89
inputs,90
present,91
object,92
memory,93
speech,94
including,95
associated,96
computer,97
comprises,98
other,99
through,100
images,101
sensor,102
outputs,103
within,104
parameter,105
vectors,106
error,107
use,108
generate,109
operation,110
determined,111
nodes,112
current,113
controller,114
Each,115
elements,116
user,117
node,118
connected,119
predetermined,120
weights,121
response,122
processor,123
systems,124
provides,125
features,126
determine,127
determining,128
analysis,129
patterns,130
digital,131
target,132
disclosed,133
selected,134
different,135
stored,136
means,137
algorithm,138
being,139
generated,140
provide,141
include,142
generating,143
array,144
and/or,145
multiple,146
module,147
structure,148
This,149
methods,150
so,151
respective,152
applied,153
when,154
obtained,155
classification,156
two,157
said,158
.sub,159
element,160
during,161
wherein,162
variables,163
further,164
form,165
embodiment,166
vehicle,167
comprising,168
desired,169
color,170
matrix,171
sequence,172
this,173
detection,174
according,175
synapse,176
fuzzy,177
result,178
receiving,179
providing,180
it,181
not,182
results,183
representing,184
hidden,185
sets,186
connection,187
all,188
characteristics,189
layers,190
its,191
uses,192
predicted,193
operating,194
component,195
configured,196
units,197
example,198
frequency,199
processed,200
engine,201
new,202
generates,203
light,204
adaptive,205
characteristic,206
particular,207
performance,208
receives,209
than,210
position,211
condition,212
functions,213
have,214
produce,215
order,216
conditions,217
detected,218
performed,219
part,220
optical,221
type,222
models,223
reference,224
level,225
logic,226
components,227
known,228
received,229
variable,230
measured,231
